Model directory: /root/../pvcvolume/idm_attacker/
INFO:__main__:Starting PPO training...
INFO:__main__:Environment: idm, Workers: 4, Total Timesteps: 1000000
INFO:__main__:Hyperparameters: gamma=0.9, lambda=0.9, clip_eps=0.2, lr=0.0003
INFO:__main__:Batch Size (Workers * Steps): 1024
INFO:__main__:Total PPO Updates: 976
INFO:__main__:Update: 140/976, Timesteps: 143360/1000000, FPS: 55, Episodes: 1884, Avg Reward (Last 100): 0.62, Avg Length (Last 100): 56.64
INFO:__main__:Update: 141/976, Timesteps: 144384/1000000, FPS: 55, Episodes: 1899, Avg Reward (Last 100): 0.53, Avg Length (Last 100): 57.61
INFO:__main__:Update: 142/976, Timesteps: 145408/1000000, FPS: 54, Episodes: 1914, Avg Reward (Last 100): 0.47, Avg Length (Last 100): 58.40
INFO:__main__:Update: 143/976, Timesteps: 146432/1000000, FPS: 56, Episodes: 1929, Avg Reward (Last 100): 0.26, Avg Length (Last 100): 59.42
INFO:__main__:Update: 144/976, Timesteps: 147456/1000000, FPS: 52, Episodes: 1948, Avg Reward (Last 100): 0.35, Avg Length (Last 100): 58.10
INFO:__main__:Update: 145/976, Timesteps: 148480/1000000, FPS: 53, Episodes: 1965, Avg Reward (Last 100): 0.38, Avg Length (Last 100): 57.44
INFO:__main__:Update: 146/976, Timesteps: 149504/1000000, FPS: 55, Episodes: 1978, Avg Reward (Last 100): 0.41, Avg Length (Last 100): 57.35
INFO:__main__:Update: 147/976, Timesteps: 150528/1000000, FPS: 52, Episodes: 1996, Avg Reward (Last 100): 0.59, Avg Length (Last 100): 55.79
INFO:__main__:Update: 148/976, Timesteps: 151552/1000000, FPS: 53, Episodes: 2013, Avg Reward (Last 100): 0.68, Avg Length (Last 100): 54.31
INFO:__main__:Update: 149/976, Timesteps: 152576/1000000, FPS: 53, Episodes: 2030, Avg Reward (Last 100): 0.86, Avg Length (Last 100): 53.45
INFO:__main__:Update: 150/976, Timesteps: 153600/1000000, FPS: 54, Episodes: 2047, Avg Reward (Last 100): 0.92, Avg Length (Last 100): 53.57
INFO:__main__:Update: 151/976, Timesteps: 154624/1000000, FPS: 54, Episodes: 2063, Avg Reward (Last 100): 0.92, Avg Length (Last 100): 53.77
INFO:__main__:Update: 152/976, Timesteps: 155648/1000000, FPS: 57, Episodes: 2076, Avg Reward (Last 100): 0.80, Avg Length (Last 100): 55.19
INFO:__main__:Update: 153/976, Timesteps: 156672/1000000, FPS: 52, Episodes: 2094, Avg Reward (Last 100): 0.74, Avg Length (Last 100): 54.85
INFO:__main__:Update: 154/976, Timesteps: 157696/1000000, FPS: 53, Episodes: 2111, Avg Reward (Last 100): 0.74, Avg Length (Last 100): 54.88
INFO:__main__:Update: 155/976, Timesteps: 158720/1000000, FPS: 53, Episodes: 2128, Avg Reward (Last 100): 0.71, Avg Length (Last 100): 54.85
INFO:__main__:Update: 156/976, Timesteps: 159744/1000000, FPS: 52, Episodes: 2144, Avg Reward (Last 100): 0.62, Avg Length (Last 100): 55.38
INFO:__main__:Update: 157/976, Timesteps: 160768/1000000, FPS: 53, Episodes: 2160, Avg Reward (Last 100): 0.62, Avg Length (Last 100): 55.45
INFO:__main__:Update: 158/976, Timesteps: 161792/1000000, FPS: 53, Episodes: 2177, Avg Reward (Last 100): 0.83, Avg Length (Last 100): 53.63
INFO:__main__:Update: 159/976, Timesteps: 162816/1000000, FPS: 52, Episodes: 2194, Avg Reward (Last 100): 0.86, Avg Length (Last 100): 53.68
INFO:__main__:Update: 160/976, Timesteps: 163840/1000000, FPS: 53, Episodes: 2210, Avg Reward (Last 100): 0.89, Avg Length (Last 100): 54.15
INFO:__main__:Update: 161/976, Timesteps: 164864/1000000, FPS: 52, Episodes: 2226, Avg Reward (Last 100): 0.86, Avg Length (Last 100): 54.26
INFO:__main__:Update: 162/976, Timesteps: 165888/1000000, FPS: 50, Episodes: 2243, Avg Reward (Last 100): 0.92, Avg Length (Last 100): 54.18
INFO:__main__:Update: 163/976, Timesteps: 166912/1000000, FPS: 51, Episodes: 2259, Avg Reward (Last 100): 0.92, Avg Length (Last 100): 54.27
INFO:__main__:Update: 164/976, Timesteps: 167936/1000000, FPS: 51, Episodes: 2275, Avg Reward (Last 100): 0.89, Avg Length (Last 100): 54.51
INFO:__main__:Update: 165/976, Timesteps: 168960/1000000, FPS: 52, Episodes: 2292, Avg Reward (Last 100): 0.92, Avg Length (Last 100): 54.57
INFO:__main__:Update: 166/976, Timesteps: 169984/1000000, FPS: 50, Episodes: 2310, Avg Reward (Last 100): 0.89, Avg Length (Last 100): 53.82
INFO:__main__:Update: 167/976, Timesteps: 171008/1000000, FPS: 52, Episodes: 2326, Avg Reward (Last 100): 0.89, Avg Length (Last 100): 53.95
